DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.26,
50,0.40,
60,0.48,
70,0.53,
80,0.57,
90,0.61,
100,0.64,
110,0.67,
120,0.70,
130,0.73,
140,0.75,
150,0.76,
160,0.78,
170,0.79,
180,0.81,
190,0.82,
200,0.83,
210,0.84,
220,0.85,
230,0.86,
240,0.86,
250,0.87,
260,0.88,
270,0.88,
280,0.89,
290,0.89,
300,0.90,
310,0.90,
320,0.91,
330,0.91,
340,0.91,
350,0.92,
360,0.92,
370,0.92,
380,0.93,
390,0.93,
400,0.93,
410,0.94,
420,0.94,
430,0.94,
440,0.94,
450,0.95,
460,0.95,
470,0.95,
480,0.95,
490,0.96,
500,0.96,
510,0.96,
520,0.96,
530,0.96,
540,0.97,
550,0.97,
560,0.97,
570,0.97,
580,0.97,
590,0.97,
600,0.97,
610,0.98,
620,0.98,
630,0.98,
640,0.98,
650,0.98,
660,0.98,
670,0.98,
680,0.98,
690,0.98,
700,0.98,
710,0.99,
720,0.99,
730,0.99,
740,0.99,
750,0.99,
760,0.99,
770,0.99,
780,0.99,
790,0.99,
800,0.99,
810,0.99,
820,0.99,
830,0.99,
840,0.99,
850,0.99,
860,0.99,
870,0.99,
880,0.99,
890,0.99,
900,0.99,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.64,
80,0.77,
90,0.83,
100,0.85,
110,0.87,
120,0.89,
130,0.91,
140,0.92,
150,0.93,
160,0.94,
170,0.94,
180,0.94,
190,0.94,
200,0.94,
210,0.94,
220,0.95,
230,0.95,
240,0.95,
250,0.95,
260,0.95,
270,0.95,
280,0.95,
290,0.96,
300,0.96,
310,0.96,
320,0.96,
330,0.97,
340,0.97,
350,0.97,
360,0.98,
370,0.98,
380,0.98,
390,0.99,
400,0.99,
410,0.99,
420,0.99,
430,0.99,
440,0.99,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
